station_name,Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Data_อาคารจุลจักรพงษ์,2024-09-01,20.5,20.5,21.0,21.0,21.0,21.0,21.0,21.0,20.5,20.5,20.0,20.5,20.5,21.0,20.0,20.5,21.0,20.5,20.0,21.0,21.0,21.0,21.0,20.5,20.0,21.0,18.5,20.0,20.5,31.0,65.5,72.5,71.0,84.5,90.5,88.5,86.5,78.5,87.0,88.0,83.0,84.0,82.5,79.5,89.0,89.5,88.5,92.5,93.5,95.0,93.5,95.0,95.5,83.0,52.0,39.0,45.0,38.5,27.5,25.5,22.0,21.5,21.0,21.0,21.0,21.5,21.0,22.0,21.5,21.0,21.5,21.5,21.0,22.5,22.5,22.0,22.5,21.0,21.0,21.0,21.5,22.0,24.5,22.0,21.0,21.0,21.0,21.5,22.0,22.0,21.5,22.5,22.5,22.0,21.5,22.0
Data_อาคารจุลจักรพงษ์,2024-09-02,21.5,20.0,20.5,21.0,20.0,20.0,20.5,20.0,20.5,20.5,21.0,20.5,20.5,20.0,21.0,20.5,21.0,23.5,35.0,47.0,51.0,52.5,89.0,114.5,116.5,117.5,110.0,113.5,110.0,114.0,119.5,134.0,138.5,139.0,136.5,137.0,155.0,157.0,151.5,144.0,142.0,147.5,148.5,146.5,158.0,151.0,155.5,154.0,154.0,160.0,158.0,155.0,155.5,152.5,145.0,140.0,137.0,133.5,125.5,125.0,124.5,128.5,124.5,122.0,120.5,122.0,124.0,116.5,110.0,92.5,81.0,69.0,65.5,63.0,61.0,59.0,52.0,49.0,46.0,45.0,45.0,41.0,39.5,34.5,33.5,31.5,31.0,30.5,30.5,29.5,30.0,29.5,27.5,27.5,27.0,27.5
Data_อาคารจุลจักรพงษ์,2024-09-03,26.0,26.0,25.5,26.0,25.5,25.5,25.5,25.5,25.5,25.0,26.0,25.0,25.0,25.5,25.0,26.0,25.0,25.5,34.0,47.0,55.5,82.5,117.5,114.5,105.0,125.0,116.5,116.5,114.5,114.5,116.5,114.5,123.5,151.0,140.0,138.0,140.5,143.5,148.0,144.5,142.0,139.5,137.0,141.5,147.5,145.0,152.5,156.0,145.5,152.0,148.5,151.0,145.0,145.0,143.5,147.5,142.0,139.0,129.0,134.0,131.5,129.0,127.5,129.0,125.0,128.0,127.5,117.0,117.5,112.0,107.5,97.0,77.5,56.5,46.5,37.5,34.0,32.0,31.5,26.5,25.5,25.5,25.5,24.0,23.5,23.0,23.5,22.5,23.5,23.0,24.0,23.0,23.5,24.0,23.5,23.0
Data_อาคารจุลจักรพงษ์,2024-09-04,22.0,21.5,21.5,22.0,22.0,22.0,22.0,21.5,22.0,21.0,21.5,21.5,22.0,21.5,22.0,26.0,26.0,28.0,39.0,49.5,52.5,65.5,93.5,113.0,112.5,109.0,110.0,108.5,113.5,124.5,132.0,129.5,127.0,133.5,137.0,136.0,134.0,136.5,137.5,133.0,135.0,134.0,137.5,145.5,142.5,147.0,155.0,148.5,150.0,155.0,151.0,151.5,140.5,148.5,139.5,137.5,138.5,131.0,126.5,132.5,131.0,138.0,135.0,134.5,136.0,134.0,136.0,131.0,128.5,121.0,107.0,101.0,91.0,80.5,69.5,63.0,56.5,50.0,50.5,46.0,32.5,31.0,29.5,29.0,30.0,29.0,29.5,28.5,29.5,29.5,28.0,26.0,23.5,24.0,23.5,24.0
Data_อาคารจุลจักรพงษ์,2024-09-05,22.5,23.0,22.0,22.0,23.0,22.0,22.0,22.5,22.0,22.0,22.5,22.0,22.0,22.0,22.0,22.0,23.0,23.5,33.0,47.5,52.0,76.5,104.0,109.5,113.5,107.0,115.0,114.5,120.0,119.5,121.5,119.0,123.0,119.5,127.0,128.5,124.0,132.0,126.5,129.5,130.5,125.0,123.0,124.5,142.0,149.0,150.0,152.5,156.0,161.0,163.0,163.5,157.0,158.0,160.5,151.5,146.0,140.0,143.0,142.5,140.5,126.5,120.5,119.5,119.0,124.0,128.5,123.0,116.0,108.5,102.0,97.0,88.0,80.0,74.5,55.5,54.5,49.0,48.5,43.5,43.0,43.0,52.5,42.5,33.0,32.0,31.5,30.5,30.0,30.0,30.5,29.5,24.0,23.0,23.0,23.0
Data_อาคารจุลจักรพงษ์,2024-09-06,22.5,22.5,22.5,21.5,22.0,22.5,22.0,23.0,22.0,22.0,25.5,22.5,22.5,22.5,22.5,21.5,21.5,22.0,36.0,46.0,46.5,86.5,104.0,105.5,109.0,105.0,110.0,108.0,112.0,115.5,115.0,118.0,122.5,128.5,122.5,126.5,126.0,131.0,128.5,131.5,130.0,157.5,155.0,148.0,151.0,157.5,166.0,162.0,166.5,173.5,174.0,165.0,162.5,165.5,145.5,152.0,144.0,140.5,139.5,135.0,143.5,142.0,143.0,139.5,144.5,146.0,146.0,146.5,148.0,141.0,136.5,126.0,118.5,102.5,91.5,83.5,74.5,61.5,59.5,58.0,52.5,49.5,50.0,46.0,40.0,36.5,31.5,31.5,30.0,29.0,29.5,29.0,29.0,27.5,27.0,21.5
Data_อาคารจุลจักรพงษ์,2024-09-07,22.0,20.5,20.5,20.5,21.0,20.0,20.0,20.0,20.0,20.5,20.5,21.0,20.0,21.0,21.0,20.5,20.0,20.5,20.0,20.5,20.5,21.0,21.5,23.0,30.0,30.5,29.5,45.5,57.5,66.0,62.5,63.5,69.0,69.5,73.0,68.0,69.0,68.5,66.5,63.0,66.5,75.0,69.5,62.0,64.0,64.5,61.0,56.0,57.5,50.5,52.0,50.5,58.0,69.0,66.0,66.0,60.5,59.5,59.0,57.5,42.5,33.0,33.0,33.0,29.0,26.0,25.0,23.5,23.5,22.5,19.0,19.0,20.0,21.0,21.0,21.0,20.5,21.0,21.0,21.0,21.0,21.0,20.5,20.5,21.0,20.5,20.5,20.5,21.0,20.5,20.5,20.0,20.5,20.5,20.0,20.5
Data_อาคารจุลจักรพงษ์,2024-09-08,21.5,20.5,18.5,19.0,19.0,19.0,19.0,19.5,19.5,19.0,18.5,19.5,19.0,18.5,19.5,18.5,19.0,19.0,20.0,19.5,18.5,19.0,19.0,26.0,29.5,30.0,28.5,29.0,28.5,29.0,30.5,43.5,45.0,48.5,50.5,49.5,50.5,50.5,49.5,48.5,49.0,48.0,50.0,50.0,48.5,49.5,49.5,50.0,49.0,53.0,54.0,53.0,56.0,56.0,57.0,47.0,28.5,22.5,22.5,21.5,21.5,22.0,22.5,22.5,23.5,24.0,24.0,23.5,22.5,23.0,23.0,21.5,23.5,24.5,23.0,22.5,22.0,22.0,21.0,22.0,22.0,22.0,21.5,22.5,22.0,22.0,21.5,21.5,21.5,21.5,21.5,22.0,22.5,21.5,21.5,21.0
Data_อาคารจุลจักรพงษ์,2024-09-09,0.0,22.0,21.5,22.0,22.0,22.5,22.0,21.5,21.5,22.0,22.5,23.5,22.5,23.0,22.5,23.0,22.5,27.5,38.0,52.5,50.5,77.5,124.5,141.0,159.5,163.0,160.0,160.5,155.5,156.5,161.5,160.5,168.5,166.5,159.5,163.0,168.5,183.5,187.0,172.0,181.0,182.0,180.0,181.5,171.5,177.5,179.5,182.5,181.0,185.0,185.5,177.0,180.5,164.0,162.0,164.0,158.0,140.0,136.5,133.0,129.5,128.5,128.0,120.5,129.0,140.0,141.0,148.0,136.5,126.5,110.5,101.5,94.0,88.0,82.0,77.0,73.0,69.5,64.0,48.0,37.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Data_อาคารจุลจักรพงษ์,2024-09-10,22.5,23.0,23.0,23.0,24.0,22.5,22.5,22.5,23.0,21.5,23.0,22.0,22.5,22.5,22.5,23.0,23.0,25.5,41.0,46.5,51.5,57.5,103.5,123.0,117.0,122.5,120.5,129.0,130.0,140.5,132.5,136.5,137.5,141.5,150.0,152.5,156.0,153.0,163.0,181.0,169.5,161.5,166.0,168.5,163.0,177.5,166.0,173.5,166.5,176.5,182.5,176.5,171.5,159.5,159.0,166.0,152.5,147.5,139.5,151.0,150.0,145.0,135.5,139.5,146.5,140.0,146.5,143.5,143.5,127.0,111.0,103.5,102.0,97.5,85.5,74.0,58.0,53.0,49.0,45.0,36.5,35.5,35.0,35.0,35.0,35.0,33.0,30.5,31.0,28.0,23.5,23.0,23.5,23.5,23.5,22.5
