Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
01,25,23.5,18.5,20,18,19.5,24,25.5,23,24,24.5,23,24,23,24,22.5,23.5,22,19,19,19.5,22,25,26,28.5,30.5,46.5,62.5,72,92.5,153,211,262,279,312.5,292,314.5,317,318.5,319,304,297.5,291.5,299,302,290.5,296.5,290,330,355,365,409,408.5,371,370,365,364.5,336.5,311,309,291.5,267,257,219.5,187.5,149.5,126.5,107,85.5,77.5,69,73,64,59.5,47.5,47.5,46,42.5,43,42.5,37,33,26.5,23.5,25.5,24.5,26.5,25,24.5,24,37.5,38.5,23,23.5,24,22.5
02,23,22.5,18.5,18,18,18.5,24,23,24,24,24,23.5,23.5,23.5,24.5,27,29,28,23,22.5,22,25,37,41,36,35,38.5,38,46,44.5,41,47,49.5,66.5,59,63,72.5,67,73.5,79,83,88.5,91.5,97.5,94.5,94.5,94,86.5,95.5,95.5,94.5,92.5,94,94,86,90.5,94.5,96,97.5,92.5,84,89,85,83.5,95.5,80.5,70,68,69.5,65,63.5,60,56.5,56,53,55,48,37,33.5,32,31,26.5,25.5,23.5,22.5,21,26.5,24,24,23.5,22.5,23.5,23,22,23,23
03,22.5,21.5,18,18,17.5,19,23,23.5,24.5,24.5,23.5,24,23,24,24.5,24.5,26,25.5,23.5,22.5,23.5,25,28.5,28.5,28.5,41,41,40.5,42,39,36,38.5,45.5,52.5,59.5,58.5,55,59,57.5,58,55,50,54,51.5,50.5,52.5,61,66.5,56.5,54.5,52,52,57.5,54,54,54.5,56.5,53.5,54,54.5,56.5,58,53.5,56,50,50,48,47.5,47,46,45.5,43.5,41.5,36.5,32.5,35,34.5,31.5,31.5,30.5,29.5,26,24,21.5,24,23,26,25,24.5,23.5,22.5,22.5,23,23.5,22.5,23.5
04,23,21.5,18,18.5,17.5,19,23,23,24,23.5,23.5,23,23,23,24.5,25.5,26,26.5,23.5,23,23,25,28,30,35.5,38.5,36.5,38,43,41.5,39,42.5,40.5,40.5,43,58.5,53,55.5,51,53,58,77.5,68,63,72,75,76.5,74.5,72.5,69.5,73,71.5,70,63,53.5,56,52,55,53.5,52,53,54,51,54,48,45,37,31.5,31.5,30,30,32,31,30.5,28,28,29,27.5,26.5,25,25,22,19,20,19,18.5,23,22.5,22.5,23,22,22,23,22,22.5,22.5
05,22,21,17,17,17.5,18,23,23,23,23,22.5,22.5,22.5,22.5,22.5,22.5,23,21,18,17,18,19.5,23.5,23,23,22.5,23.5,23,22,20,17,17,19.5,21,22,20.5,21,21.5,20.5,20.5,19,18.5,20,21,21,24.5,38,30.5,20.5,18.5,20.5,21,24,22,20,22.5,23,24,25,22,23.5,24.5,24,25.5,24,24.5,24.5,23.5,21,22,26.5,25.5,27,26.5,25,27,25.5,26.5,25.5,26.5,25,22,19,17.5,19,20,24,22.5,23,22.5,22,22,21.5,22,21.5,21.5
06,22,20,16.5,17.5,16.5,18,22,22,22.5,22,23,22,21,21.5,21.5,22.5,22,20,17,16.5,18,18.5,22,22.5,24,22,21.5,23,23,23,18.5,19,19,18.5,19.5,19.5,20.5,20.5,22.5,21.5,20,19,29,31.5,21,22,22.5,23.5,24,22,21.5,24,26.5,24,23.5,23.5,24.5,24,24,22,27.5,26,25,23,21,22.5,23,21.5,21.5,21,25,24.5,25,24,23.5,24.5,24.5,24.5,24,23.5,23.5,20,17,16.5,18,19.5,23,22,22,23,22,22.5,23,21.5,22.5,22.5
07,21.5,21.5,17.5,18,16.5,18.5,22,22.5,23,22.5,22,22.5,22.5,22,22,22,22,21.5,17.5,17,17.5,19,23,26,27,36,58.5,69,55.5,162,221,255,333.5,339,341,354,359,374.5,379.5,373,361,373.5,369.5,361,379.5,368,359.5,367,395,418,425,429.5,453,434.5,424,420.5,414,425,415.5,385,363.5,350.5,341.5,314,258.5,185.5,172,139.5,115,101.5,85.5,68,59.5,56.5,47.5,44,42,43,43,41,35,31,28,25,25.5,26.5,28,29.5,28.5,27.5,26.5,25.5,24.5,23,24.5,23
08,23,22,19,18,18.5,19.5,24,24,23.5,24,23,23.5,23.5,23,24.5,23,23.5,22,18,19,18,19,24,31,39.5,42,48,52.5,80,95.5,220,330.5,342,352,353,357,368,369,397,377,373,379.5,388,354,352,363,356,353.5,410,429,410,408.5,415,435,427.5,420,399,381.5,358.5,349,341,306,284.5,237,209,160.5,135,124.5,94,76,69,60,65.5,56,55,50.5,49.5,47,41,37.5,36,30.5,26,25,21,23,26,26,25,25.5,26,24.5,26.5,26,23,23
09,24,22.5,18,18,18.5,19,23,24,24,23.5,23.5,23.5,23.5,22.5,23,23.5,24,21,18,18,18.5,21.5,24,36,37.5,40.5,50.5,63,81,110,173.5,194.5,244,300,290,317,327,328,325,291,299,286,280,287,299,292,288,320,326,329,354,341,391,378,372,372,348,342,325,311,317,316,290,247,173,131,99,96,76,68,66,63,52,52,44,44,43,39,40,36,43,50,41,27,21,23,26,25,23,25,24,24,22,23,23,23
10,22,21,16,18,18,18,22,23,23,22,23,23,22,22,22,22,22,20,17,18,18,19,25,36,35,51,54,60,75,101,135,185,250,254,258,294,300,312,320,330,328,334,343,355,396,399,406,389,407,398,377,375,362,373,374,361,339,317,299,264,251,243,235,209,181,162,138,107,93,83,73,60,56,55,57,49,47,43,42,34,32,27,24,21,20,22,23,23,24,23,23,24,23,22,22,23
11,22,20,17,17,18,18,22,23,22,22,23,22,23,22,22,23,22,21,17,17,18,19,23,26,28,44,48,53,78,82,107,168,281,304,283,298,325,311,322,329,334,327,319,313,308,320,307,309,291,286,286,298,309,311,310,290,298,300,313,280,285,280,276,261,220,166,150,127,108,86,79,77,66,71,57,50,38,40,39,34,33,29,26,24,26,23,24,23,22,22,23,22,23,22,22,22
12,24,20,16,17,17,18,22,22,22,22,22,23,22,21,22,22,21,20,17,16,17,18,22,23,23,22,22,22,21,20,16,16,18,17,20,21,19,20,21,22,22,20,20,18,18,20,21,22,23,24,24,26,31,29,30,27,28,28,26,30,28,25,24,25,21,24,21,19,21,20,24,23,24,24,22,24,22,23,23,22,23,25,32,25,16,18,21,21,20,21,20,21,21,20,21,21
13,20,19,15,16,16,17,21,21,21,22,20,22,22,21,21,21,20,20,16,16,16,18,24,25,22,21,21,19,21,19,15,15,15,14,16,15,18,17,16,15,16,19,19,19,18,18,19,27,32,22,22,22,23,23,25,22,23,22,22,22,19,20,21,20,21,20,21,21,20,20,24,24,23,23,24,23,23,24,22,23,23,21,17,18,17,18,22,22,22,22,22,20,21,21,20,20
14,21,19,16,15,16,17,21,22,21,21,21,21,21,21,21,20,21,20,15,16,16,17,21,22,21,21,21,20,22,20,17,16,20,21,20,19,20,20,20,22,23,23,22,22,24,23,25,29,27,26,29,28,29,30,26,28,29,25,29,27,27,26,26,25,25,25,24,24,23,23,27,29,27,25,25,27,26,25,26,25,24,23,18,19,19,19,23,23,23,24,22,23,22,22,22,22
15,22,19,17,17,16,18,23,22,22,23,21,22,23,22,21,22,22,20,18,17,18,18,24,25,34,45,52,55,86,143,235,252,314,403,403,385,372,384,375,371,384,370,364,364,378,372,376,361,397,380,395,380,385,404,402,371,343,343,312,302,263,259,245,240,198,165,159,150,125,85,73,69,63,60,55,52,48,45,43,34,33,29,25,23,24,25,27,27,27,24,24,24,25,24,24,23
16,22,21,18,18,18,19,23,24,23,23,24,23,22,24,22,23,23,21,18,19,18,20,25,24,26,32,46,57,80,113,153,242,316,331,295,325,318,335,342,362,365,325,320,324,337,294,312,309,344,348,346,313,340,332,354,340,334,314,305,297,291,271,246,219,187,164,136,104,92,80,75,75,64,64,55,50,50,48,46,44,37,30,27,25,22,23,26,25,26,27,26,25,25,25,25,24
17,24,22,19,20,19,21,24,25,24,26,25,24,24,24,23,25,25,22,19,19,19,22,26,27,28,41,47,56,76,104,126,154,164,222,277,302,313,324,326,330,345,332,352,351,401,401,369,367,407,407,397,381,375,363,367,356,340,321,329,302,289,293,266,241,216,200,168,129,95,91,87,79,68,62,53,45,43,43,39,36,32,28,27,25,27,24,29,26,26,25,26,24,23,24,23,23
18,23,21,17,18,17,19,23,24,23,24,23,23,22,23,24,22,23,21,19,17,18,20,31,32,35,36,70,101,113,118,138,203,267,290,320,346,355,365,358,347,361,341,323,328,340,332,310,297,325,332,314,309,310,324,320,315,293,290,269,262,241,231,228,207,182,125,98,81,70,64,61,57,57,55,50,50,45,43,39,37,36,35,30,26,29,29,31,32,35,47,41,30,31,32,29,30
19,30,28,24,24,25,25,29,30,30,29,30,29,29,30,29,29,29,28,24,24,24,26,30,33,34,34,33,38,104,102,101,109,104,109,113,114,112,108,109,110,107,108,108,112,108,112,105,130,116,119,112,128,130,124,126,121,124,118,115,113,104,108,106,105,108,97,92,94,84,81,43,33,34,32,32,32,31,31,31,31,31,29,25,26,25,27,30,30,30,31,29,31,30,30,30,30
20,29,29,24,25,24,26,30,30,31,30,30,30,31,29,30,30,29,28,25,25,25,27,30,30,30,30,29,30,29,28,23,24,24,25,26,27,26,28,25,27,27,27,26,27,28,29,30,31,34,34,34,35,34,34,34,32,33,34,31,32,29,29,30,30,30,28,27,27,26,30,31,33,34,33,32,34,33,32,31,32,31,28,26,28,26,26,31,31,30,31,29,31,29,30,29,30
21,28,29,24,25,24,25,29,30,29,29,29,29,28,29,29,28,28,27,24,24,23,25,31,33,36,41,51,70,85,129,143,176,252,290,290,294,315,338,347,325,323,314,316,331,344,324,332,329,349,411,392,410,422,412,432,408,386,374,329,327,307,311,308,278,250,172,143,118,101,81,81,68,71,66,63,54,54,53,46,42,38,33,28,28,31,28,30,31,32,30,30,31,32,30,30,30
22,30,28,25,25,25,26,29,31,31,29,31,45,45,29,29,30,30,28,24,26,25,27,33,38,39,42,52,68,131,143,176,206,255,328,335,320,338,355,355,354,362,373,355,352,353,345,331,337,384,376,361,365,376,386,383,385,384,372,340,314,282,250,220,194,168,146,136,111,89,83,81,75,72,65,61,61,53,52,50,43,40,37,33,32,32,33,35,36,36,35,35,35,35,34,34,34
23,35,32,29,29,29,30,35,35,34,35,34,32,31,34,33,34,33,31,28,24,27,30,36,38,36,30,34,33,35,35,28,31,31,30,32,33,35,36,37,37,36,39,39,41,40,40,39,42,43,43,42,43,44,40,41,41,42,41,41,41,40,39,42,42,42,58,39,38,39,38,39,42,43,40,39,40,40,38,37,40,38,35,32,31,31,31,35,37,36,36,37,35,36,36,36,35
24,35,33,29,30,29,30,35,35,34,35,34,33,34,33,34,33,34,31,29,30,28,29,34,36,39,55,62,67,85,97,136,184,220,268,291,281,301,316,322,360,353,362,361,383,409,385,398,396,408,409,372,349,364,358,355,365,353,344,345,324,321,283,273,256,197,170,159,141,115,96,81,77,68,63,61,61,55,52,50,45,38,36,33,29,33,30,33,33,32,31,31,32,31,30,31,30
25,30,29,25,25,25,26,30,32,30,30,31,30,30,30,29,30,30,28,25,25,25,27,30,33,33,45,59,83,101,94,141,222,270,283,291,292,326,316,312,313,318,315,329,317,323,324,299,304,319,300,294,318,349,345,338,334,317,314,299,309,308,301,292,236,174,158,137,114,101,100,91,75,78,68,61,55,55,53,52,46,41,40,35,34,33,32,37,35,34,34,33,34,33,32,30,31
26,31,29,25,26,26,26,31,32,30,31,31,30,31,30,31,31,29,29,25,26,25,28,30,31,32,30,30,30,30,30,25,25,28,27,29,35,35,37,42,37,40,37,38,41,50,53,51,56,63,66,58,60,61,66,88,78,82,81,72,80,81,76,63,44,46,44,53,61,52,42,45,45,41,41,40,38,36,39,39,36,36,35,33,29,30,32,36,34,34,35,35,37,35,34,34,33
27,33,31,27,27,28,29,33,34,32,32,32,33,33,33,32,31,33,31,38,34,28,28,32,33,34,31,31,34,34,34,35,36,36,37,39,46,52,51,53,55,56,55,54,47,48,49,52,49,55,54,51,53,52,55,53,53,55,57,61,62,60,57,56,58,55,58,55,48,43,36,38,37,38,37,35,35,38,33,36,36,36,31,30,28,29,31,34,33,35,33,33,33,31,30,31,31
